2025-08-13 14:08:36,123 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE2290>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.199/element
2025-08-13 14:08:44,311 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE3790>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.200/element
2025-08-13 14:08:48,373 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B03CD0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.200/element
2025-08-13 14:08:52,435 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B00590>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.200/element
2025-08-13 14:09:00,557 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC4888EDD0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.201/element
2025-08-13 14:09:04,620 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE3F10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.201/element
2025-08-13 14:09:08,666 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE25D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.201/element
2025-08-13 14:09:16,777 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE1390>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.202/element
2025-08-13 14:09:20,835 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE0B10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.202/element
2025-08-13 14:09:24,925 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF4C10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.202/element
2025-08-13 14:09:33,048 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF7590>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.203/element
2025-08-13 14:09:37,098 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF7910>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.203/element
2025-08-13 14:09:41,185 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF5A50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.203/element
2025-08-13 14:09:49,347 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B01E10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.204/element
2025-08-13 14:09:53,396 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B02850>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.204/element
2025-08-13 14:09:57,450 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B03350>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.204/element
2025-08-13 14:10:05,585 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF5CD0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.205/element
2025-08-13 14:10:09,633 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF4F90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.205/element
2025-08-13 14:10:13,685 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF5450>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.205/element
2025-08-13 14:10:21,794 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE08D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.206/element
2025-08-13 14:10:25,817 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE0FD0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.206/element
2025-08-13 14:10:29,882 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE19D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.206/element
2025-08-13 14:10:38,000 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE1490>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.207/element
2025-08-13 14:10:42,068 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC4888CC50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.207/element
2025-08-13 14:10:46,143 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B01550>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.207/element
2025-08-13 14:10:54,299 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B0CC10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.208/element
2025-08-13 14:10:58,348 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B0D790>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.208/element
2025-08-13 14:11:02,412 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B0E2D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.208/element
2025-08-13 14:11:08,479 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC4888DB50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866
2025-08-13 14:11:12,516 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE3A10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866
2025-08-13 14:11:16,568 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE24D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866
